"Part","Value","Device","Package","Description"
"B1","CR2032","BK-912","BK-912","MPD BK-912 SMD 20mm Coin Cell Battery Holder"
"C1","200pF","GRM1885C1H201JA01","0603","Murata SMD Ceramic Capacitor"
"C3","0.1uF","GRM188R71E104KA01","0603","Murata SMD Ceramic Capacitor"
"C7","10pF","GRM1885C1H100JA01NS","0603","Murata SMD Ceramic Capacitor"
"C8","8pF","GRM1885C1H8R0DZ01NS","0603","Murata SMD Ceramic Capacitor"
"D2","BAT54","BAT54","SOT23","FAIRCHILD SINGLE SCHOTTKY DIODE"
"J1","M06PTH","M06PTH","1X06","0.100in Male Header 1x6"
"R1","1K 5%","ERJ-3GEYJ102","0603","Panasonic ERJ Thick Film Chip Resistor"
"R2","2K2 5%","ERJ-3GEYJ222","0603","Panasonic ERJ Thick Film Chip Resistor"
"R3","2K2 5%","ERJ-3GEYJ222","0603","Panasonic ERJ Thick Film Chip Resistor"
"R11","10K 5%","ERJ-3GEYJ103","0603","Panasonic ERJ Thick Film Chip Resistor"
"U1","MCP79410-I/SN","MCP79410-I/SN","SOIC8-N_MC","MCP79XXX RTCC Real Time Clock Calendar - I2C Bus"
"Y1","32.768KHz","CM200C32768DZBT","4-SOJ","Citizen CM Series 32.768KHz Tuning Fork Crystal - 6pF"
